current,R,G,B
0.220833,0.000,0.165,0.333
0.297923,0.000,0.416,0.333
0.222115,0.000,0.416,0.082
0.219426,0.000,0.416,0.082
0.293893,0.498,0.000,0.333
0.293567,0.498,0.000,0.333
0.264426,0.247,0.416,0.000
0.293291,0.498,0.000,0.333
0.264690,0.247,0.416,0.000
0.219279,0.000,0.416,0.082
0.266702,0.247,0.416,0.000
0.298680,0.000,0.416,0.333
0.252758,0.498,0.000,0.082
0.266851,0.498,0.165,0.000
0.197573,0.247,0.165,0.000
0.267282,0.498,0.165,0.000
0.220205,0.000,0.416,0.082
0.300861,0.498,0.416,0.000
0.292992,0.498,0.000,0.333
0.264356,0.247,0.416,0.000
0.197541,0.247,0.165,0.000
0.194183,0.247,0.165,0.000
0.265704,0.498,0.165,0.000
0.247016,0.498,0.000,0.082
0.298339,0.000,0.416,0.333
0.232499,0.247,0.000,0.333
0.267328,0.498,0.165,0.000
0.263325,0.247,0.416,0.000
0.262321,0.498,0.165,0.000
0.264021,0.498,0.165,0.000
0.117889,0.000,0.165,0.082
0.214384,0.000,0.165,0.333
0.214674,0.000,0.165,0.333
0.289562,0.498,0.000,0.333
0.212837,0.000,0.165,0.333
0.196148,0.247,0.165,0.000
0.300367,0.498,0.416,0.000
0.194232,0.247,0.165,0.000
0.262230,0.247,0.416,0.000
0.121054,0.000,0.165,0.082
0.244839,0.498,0.000,0.082
0.120513,0.000,0.165,0.082
0.297106,0.000,0.416,0.333
0.230589,0.247,0.000,0.333
0.197867,0.247,0.165,0.000
0.119551,0.000,0.165,0.082
0.194996,0.247,0.165,0.000
0.197384,0.247,0.165,0.000
0.121154,0.000,0.165,0.082
0.214577,0.000,0.416,0.082
0.259865,0.498,0.165,0.000
0.151147,0.247,0.000,0.082
0.152462,0.247,0.000,0.082
0.258225,0.247,0.416,0.000
0.261049,0.247,0.416,0.000
0.215323,0.000,0.416,0.082
0.288527,0.498,0.000,0.333
0.289193,0.498,0.000,0.333
0.298674,0.000,0.416,0.333
0.298767,0.000,0.416,0.333
0.265450,0.498,0.165,0.000
0.290077,0.498,0.000,0.333
0.120687,0.000,0.165,0.082
0.119366,0.000,0.165,0.082
0.297106,0.000,0.416,0.333
0.219646,0.000,0.416,0.082
0.153188,0.247,0.000,0.082
0.195889,0.247,0.165,0.000
0.258902,0.247,0.416,0.000
0.214788,0.000,0.165,0.333
0.196197,0.247,0.165,0.000
0.228904,0.247,0.000,0.333
0.291074,0.498,0.000,0.333
0.299812,0.498,0.416,0.000
0.286819,0.498,0.000,0.333
0.288908,0.498,0.000,0.333
0.215153,0.000,0.165,0.333
0.115770,0.000,0.165,0.082
0.217090,0.000,0.416,0.082
0.154921,0.247,0.000,0.082
0.154506,0.247,0.000,0.082
0.298842,0.498,0.416,0.000
0.193747,0.247,0.165,0.000
0.260961,0.247,0.416,0.000
0.228157,0.247,0.000,0.333
0.219470,0.000,0.416,0.082
0.122041,0.000,0.165,0.082
0.154303,0.247,0.000,0.082
0.228378,0.247,0.000,0.333
0.299930,0.498,0.416,0.000
0.290646,0.498,0.000,0.333
0.260841,0.247,0.416,0.000
0.156271,0.247,0.000,0.082
0.195863,0.247,0.165,0.000
0.299044,0.498,0.416,0.000
0.217680,0.000,0.165,0.333
0.217792,0.000,0.165,0.333
0.261837,0.247,0.416,0.000
0.245093,0.498,0.000,0.082
0.246215,0.498,0.000,0.082
0.230656,0.247,0.000,0.333
0.299974,0.498,0.416,0.000
0.245940,0.498,0.000,0.082
0.228643,0.247,0.000,0.333
0.246562,0.498,0.000,0.082
0.265743,0.498,0.165,0.000
0.247830,0.498,0.000,0.082
0.298307,0.000,0.416,0.333
0.158597,0.247,0.000,0.082
0.300120,0.498,0.416,0.000
0.218042,0.000,0.165,0.333
0.220117,0.000,0.416,0.082
0.214624,0.000,0.165,0.333
0.290562,0.498,0.000,0.333
0.298549,0.000,0.416,0.333
0.294429,0.498,0.000,0.333
0.243855,0.498,0.000,0.082
0.197878,0.247,0.165,0.000
0.217534,0.000,0.165,0.333
0.298197,0.000,0.416,0.333
0.123298,0.000,0.165,0.082
0.228718,0.247,0.000,0.333
0.297960,0.000,0.416,0.333
0.268836,0.498,0.165,0.000
0.151780,0.247,0.000,0.082
0.297087,0.000,0.416,0.333
0.264243,0.247,0.416,0.000
0.231729,0.247,0.000,0.333
0.298455,0.000,0.416,0.333
0.298802,0.000,0.416,0.333
0.220924,0.000,0.416,0.082
0.291975,0.498,0.000,0.333
0.229474,0.247,0.000,0.333
0.213971,0.000,0.165,0.333
0.245474,0.498,0.000,0.082
0.218028,0.000,0.165,0.333
0.231632,0.247,0.000,0.333
0.216828,0.000,0.416,0.082
0.261377,0.247,0.416,0.000
0.267291,0.498,0.165,0.000
0.218933,0.000,0.416,0.082
0.121024,0.000,0.165,0.082
0.230077,0.247,0.000,0.333
0.300591,0.498,0.416,0.000
0.214230,0.000,0.165,0.333
0.217299,0.000,0.165,0.333
0.122231,0.000,0.165,0.082
0.297149,0.000,0.416,0.333
0.251438,0.498,0.000,0.082
0.231428,0.247,0.000,0.333
0.265651,0.498,0.165,0.000
0.263210,0.247,0.416,0.000
0.122652,0.000,0.165,0.082
0.155708,0.247,0.000,0.082
0.262788,0.247,0.416,0.000
0.123953,0.000,0.165,0.082
0.155979,0.247,0.000,0.082
0.152428,0.247,0.000,0.082
0.299762,0.498,0.416,0.000
0.158541,0.247,0.000,0.082
0.158265,0.247,0.000,0.082
0.290939,0.498,0.000,0.333
0.218002,0.000,0.416,0.082
0.298057,0.000,0.416,0.333
0.200627,0.247,0.165,0.000
0.224487,0.247,0.000,0.333
0.158329,0.247,0.000,0.082
0.228955,0.247,0.000,0.333
0.266542,0.498,0.165,0.000
0.300462,0.498,0.416,0.000
0.228532,0.247,0.000,0.333
0.300299,0.498,0.416,0.000
0.217003,0.000,0.165,0.333
0.291917,0.498,0.000,0.333
0.157995,0.247,0.000,0.082
0.219600,0.000,0.416,0.082
0.219354,0.000,0.416,0.082
0.121105,0.000,0.165,0.082
0.156207,0.247,0.000,0.082
0.289782,0.498,0.000,0.333
0.246332,0.498,0.000,0.082
0.216706,0.000,0.165,0.333
0.218940,0.000,0.416,0.082
0.292001,0.498,0.000,0.333
0.301013,0.498,0.416,0.000
0.199807,0.247,0.165,0.000
0.290294,0.498,0.000,0.333
0.298218,0.000,0.416,0.333
0.232868,0.247,0.000,0.333
