current,R,G,B
0.064338,0.220,0.886,0.659
0.067464,0.220,0.886,1.000
0.060541,0.220,0.439,0.659
0.062605,0.220,0.439,1.000
0.069261,0.773,0.886,0.659
0.073686,0.773,0.886,1.000
0.065075,0.773,0.439,0.659
0.068976,0.773,0.439,1.000
0.064147,0.220,0.886,0.659
0.067403,0.220,0.886,1.000
0.059049,0.220,0.439,0.659
0.062352,0.220,0.439,1.000
0.069731,0.773,0.886,0.659
0.073835,0.773,0.886,1.000
0.067732,0.773,0.439,0.659
0.068713,0.773,0.439,1.000
0.065061,0.220,0.886,0.659
0.067238,0.220,0.886,1.000
0.059405,0.220,0.439,0.659
0.062610,0.220,0.439,1.000
0.070312,0.773,0.886,0.659
0.073739,0.773,0.886,1.000
0.064673,0.773,0.439,0.659
