current,R,G,B,rgb unique combination
0.085641,   0, 225,   0,0
0.101828, 255,   0, 195,1
0.104111, 255, 225,   0,2
0.099266,   0, 225, 195,3
0.083289,   0,   0, 195,4
0.085711,   0, 225,   0,0
0.069850,   0,   0,   0,5
0.099592,   0, 225, 195,3
0.104250, 255, 225,   0,2
0.069873,   0,   0,   0,5
0.088599, 255,   0,   0,6
0.102084, 255,   0, 195,1
0.117829, 255, 225, 195,7
0.085548,   0, 225,   0,0
0.069873,   0,   0,   0,5
0.104414, 255, 225,   0,2
0.117992, 255, 225, 195,7
0.085501,   0, 225,   0,0
0.099499,   0, 225, 195,3
0.083382,   0,   0, 195,4
0.099453,   0, 225, 195,3
0.069850,   0,   0,   0,5
0.099453,   0, 225, 195,3
0.102247, 255,   0, 195,1
0.088482, 255,   0,   0,6
0.083335,   0,   0, 195,4
0.069850,   0,   0,   0,5
0.118272, 255, 225, 195,7
0.088413, 255,   0,   0,6
0.118085, 255, 225, 195,7
0.088366, 255,   0,   0,6
0.099290,   0, 225, 195,3
0.083289,   0,   0, 195,4
0.099359,   0, 225, 195,3
0.083405,   0,   0, 195,4
0.104250, 255, 225,   0,2
0.088459, 255,   0,   0,6
0.101945, 255,   0, 195,1
0.085711,   0, 225,   0,0
0.104250, 255, 225,   0,2
0.102178, 255,   0, 195,1
0.117806, 255, 225, 195,7
0.088366, 255,   0,   0,6
0.101968, 255,   0, 195,1
0.104111, 255, 225,   0,2
0.085594,   0, 225,   0,0
0.099406,   0, 225, 195,3
0.101898, 255,   0, 195,1
0.083289,   0,   0, 195,4
0.088506, 255,   0,   0,6
0.104157, 255, 225,   0,2
0.069873,   0,   0,   0,5
0.088506, 255,   0,   0,6
0.117992, 255, 225, 195,7
0.069826,   0,   0,   0,5
0.085664,   0, 225,   0,0
0.069850,   0,   0,   0,5
0.083405,   0,   0, 195,4
0.104344, 255, 225,   0,2
0.069826,   0,   0,   0,5
0.088506, 255,   0,   0,6
0.118085, 255, 225, 195,7
0.088273, 255,   0,   0,6
0.099406,   0, 225, 195,3
0.085618,   0, 225,   0,0
0.088366, 255,   0,   0,6
0.099290,   0, 225, 195,3
0.083382,   0,   0, 195,4
0.099313,   0, 225, 195,3
0.069780,   0,   0,   0,5
0.099476,   0, 225, 195,3
0.083219,   0,   0, 195,4
0.085664,   0, 225,   0,0
0.088506, 255,   0,   0,6
0.085618,   0, 225,   0,0
0.088389, 255,   0,   0,6
0.069780,   0,   0,   0,5
0.083475,   0,   0, 195,4
0.085664,   0, 225,   0,0
0.099359,   0, 225, 195,3
0.088459, 255,   0,   0,6
0.118085, 255, 225, 195,7
0.104134, 255, 225,   0,2
0.102061, 255,   0, 195,1
0.117876, 255, 225, 195,7
0.088296, 255,   0,   0,6
0.085525,   0, 225,   0,0
0.118015, 255, 225, 195,7
0.069757,   0,   0,   0,5
0.102084, 255,   0, 195,1
0.083195,   0,   0, 195,4
0.104204, 255, 225,   0,2
0.088319, 255,   0,   0,6
0.085548,   0, 225,   0,0
0.101921, 255,   0, 195,1
0.088319, 255,   0,   0,6
0.085618,   0, 225,   0,0
0.102131, 255,   0, 195,1
0.069757,   0,   0,   0,5
0.088459, 255,   0,   0,6
0.069757,   0,   0,   0,5
0.083335,   0,   0, 195,4
0.099336,   0, 225, 195,3
0.117946, 255, 225, 195,7
0.088319, 255,   0,   0,6
0.101828, 255,   0, 195,1
0.088319, 255,   0,   0,6
0.099220,   0, 225, 195,3
0.083312,   0,   0, 195,4
0.099290,   0, 225, 195,3
0.069780,   0,   0,   0,5
0.083265,   0,   0, 195,4
0.069757,   0,   0,   0,5
0.102247, 255,   0, 195,1
0.104181, 255, 225,   0,2
0.102108, 255,   0, 195,1
0.069757,   0,   0,   0,5
0.083522,   0,   0, 195,4
0.069757,   0,   0,   0,5
0.099406,   0, 225, 195,3
0.118085, 255, 225, 195,7
0.099243,   0, 225, 195,3
0.101945, 255,   0, 195,1
0.085525,   0, 225,   0,0
0.088436, 255,   0,   0,6
0.069826,   0,   0,   0,5
0.088529, 255,   0,   0,6
0.102061, 255,   0, 195,1
0.104111, 255, 225,   0,2
0.099336,   0, 225, 195,3
0.069780,   0,   0,   0,5
0.099359,   0, 225, 195,3
0.085571,   0, 225,   0,0
0.104250, 255, 225,   0,2
0.117876, 255, 225, 195,7
0.088319, 255,   0,   0,6
0.069826,   0,   0,   0,5
0.099546,   0, 225, 195,3
0.088459, 255,   0,   0,6
0.118015, 255, 225, 195,7
0.088319, 255,   0,   0,6
0.117946, 255, 225, 195,7
0.103994, 255, 225,   0,2
0.117666, 255, 225, 195,7
0.085478,   0, 225,   0,0
0.083242,   0,   0, 195,4
0.104111, 255, 225,   0,2
0.117946, 255, 225, 195,7
0.088273, 255,   0,   0,6
0.099243,   0, 225, 195,3
0.085524,   0, 225,   0,0
0.088366, 255,   0,   0,6
