current,R,G,B
0.001988,0.000,0.396,0.396
0.002317,0.396,0.639,0.000
0.002422,0.639,0.000,0.396
0.001268,0.000,0.000,0.000
0.003870,0.639,0.000,0.639
0.001559,0.639,0.000,0.000
0.004237,0.000,0.396,0.639
0.002446,0.396,0.000,0.639
0.001497,0.396,0.000,0.000
0.007744,0.396,0.396,0.639
0.001382,0.396,0.000,0.000
0.001495,0.396,0.000,0.000
0.002559,0.639,0.000,0.396
0.001657,0.396,0.000,0.000
0.002790,0.000,0.396,0.396
0.002722,0.639,0.000,0.396
0.003920,0.396,0.396,0.396
0.008028,0.639,0.396,0.396
0.014059,0.396,0.639,0.639
0.001586,0.639,0.000,0.000
0.006183,0.396,0.639,0.396
0.001720,0.000,0.000,0.639
0.008592,0.396,0.396,0.639
0.013836,0.396,0.639,0.639
0.015743,0.639,0.396,0.639
0.001177,0.000,0.000,0.000
0.001633,0.000,0.639,0.000
0.001668,0.000,0.639,0.000
0.001685,0.396,0.000,0.000
0.004087,0.639,0.000,0.639
0.004623,0.639,0.639,0.000
0.012866,0.396,0.639,0.639
0.002449,0.396,0.000,0.639
0.042238,0.639,0.639,0.639
0.001773,0.000,0.639,0.000
0.001689,0.000,0.639,0.000
0.001736,0.639,0.000,0.000
0.002005,0.396,0.396,0.000
0.015517,0.639,0.396,0.639
0.003768,0.639,0.000,0.639
0.002455,0.396,0.000,0.639
0.001836,0.396,0.000,0.396
0.045917,0.639,0.639,0.639
0.001831,0.396,0.000,0.396
0.002326,0.396,0.639,0.000
0.001488,0.639,0.000,0.000
0.001553,0.000,0.000,0.396
0.003855,0.639,0.000,0.639
0.001506,0.000,0.000,0.396
0.015880,0.639,0.396,0.639
0.001889,0.396,0.396,0.000
0.008009,0.396,0.396,0.639
0.042555,0.639,0.639,0.639
0.014458,0.639,0.396,0.639
0.001626,0.639,0.000,0.000
0.006023,0.000,0.639,0.639
0.047572,0.639,0.639,0.639
0.042703,0.639,0.639,0.639
0.002715,0.000,0.396,0.396
0.009436,0.396,0.396,0.639
0.001613,0.000,0.639,0.000
0.001666,0.639,0.000,0.000
0.002258,0.396,0.639,0.000
0.016478,0.639,0.396,0.639
0.002414,0.396,0.000,0.639
0.042575,0.639,0.639,0.639
0.004356,0.639,0.639,0.000
0.001722,0.639,0.000,0.000
0.001860,0.396,0.396,0.000
0.009000,0.396,0.396,0.639
0.004126,0.639,0.000,0.639
0.014302,0.396,0.639,0.639
0.003075,0.396,0.639,0.000
0.012770,0.396,0.639,0.639
0.004086,0.639,0.000,0.639
0.001920,0.396,0.000,0.396
0.006744,0.396,0.639,0.396
0.014488,0.639,0.396,0.639
0.004925,0.000,0.639,0.396
0.004008,0.396,0.396,0.396
0.002369,0.639,0.396,0.000
0.047638,0.639,0.639,0.639
0.001565,0.639,0.000,0.000
0.001957,0.396,0.396,0.000
0.004073,0.639,0.639,0.000
0.007800,0.396,0.396,0.639
0.001174,0.000,0.000,0.000
0.002827,0.000,0.396,0.396
0.004101,0.639,0.639,0.000
0.001842,0.396,0.396,0.000
0.002777,0.639,0.000,0.396
0.004650,0.000,0.396,0.639
0.001760,0.396,0.000,0.396
0.016231,0.639,0.396,0.639
0.002914,0.000,0.396,0.396
0.003883,0.396,0.396,0.396
0.003978,0.000,0.639,0.396
0.001486,0.396,0.000,0.000
0.004145,0.000,0.396,0.639
0.007371,0.396,0.639,0.396
0.004092,0.000,0.639,0.396
0.002427,0.396,0.639,0.000
0.002737,0.000,0.396,0.396
0.001376,0.000,0.000,0.396
0.001886,0.396,0.396,0.000
0.005183,0.639,0.639,0.000
0.001787,0.639,0.000,0.000
0.045988,0.639,0.639,0.639
0.004773,0.639,0.639,0.000
0.001404,0.000,0.396,0.000
0.005050,0.639,0.639,0.000
0.006847,0.000,0.639,0.639
